path,sha256,size_bytes
README.md,ec12fd94ae9b6adc5850cee7fa76813881ff932731c3b30d958cf5cdfac05423,657
algorithms/nutrition/README.md,7220ec20504357a5b53859e0640e3ea5ca00424516e9488af26f4d1ee22357bf,1156
algorithms/nutrition/package.json,acdf0e90b6b3789c347644606fb71e5ab4f689b4c2a010615b772be8460867da,446
algorithms/nutrition/src/api/nutrition-service.mjs,9cdef53582d5ec29f8173d70a190987158d1c626923dfa0997b147da0af81744,962
algorithms/nutrition/src/safety/age-policy.mjs,2006239c2bad1dd2db152b98c28f03e4aeef31d77dbbf95851f58652926bb855,1229
algorithms/nutrition/src/safety/recommendation-gate.mjs,fb16253fe7a3c0767e273788b9c3625f8375fba0705a931d5b4b973b2c80e4a8,779
algorithms/training/README.md,02ddfb20b5d2ac57f3e30d67ec6869660b231f61c58ba7e6bbcd903b368ff8a1,686
algorithms/training/package.json,8d6dbd3b62ded35879bd359b59976b5d38e1a7f21c4443393bfb737cab7aeb02,645
algorithms/training/src/training/nutrition-boundary.ts,1202544dcb06945bc993da11d1afdd48f281516681512c61572d8a6c112464e4,834
algorithms/training/src/training/readiness.ts,3ce2a82d451d44a2950cb7e5041dc9418d7d890dd549a9cfc67404943af8c633,1390
algorithms/training/src/training/safety.ts,97786eef07e9d256e3e34b7a57c3f4231c2bd954fe0312963132a794f7ea2bd2,2782
algorithms/training/src/training/training-engine.ts,654045b00e1a78d2f496f0c916d589293b9e6dde3f623214cb2dd0f0113a0aca,6812
docs/ALGORITHM_INTEGRATION_REPORT.md,e18a07cf914c5d571e36b86cc27c9e915a852936912cc8861f1722412e7cd4e1,7816
